taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,category,criteria,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,tax_sp_level
158101,Coffea schliebenii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,NA,Bridson,2014,VU,"B1ab(i,ii,iii)+2ab(i,ii,iii)",FALSE,FALSE,TRUE,"Luke, W.R.Q., Burrows, J.E., Timberlake, J., Alves, M.T., Coates Palgrave, F.M., Hyde, M.A., Massingue, A.O., Matimele, H.A., Raimondo, D., Hadj-Hammou, J. & Osborne, J.","von Staden, L.",400,3837,700,240,NA,NA,NA,NA,NA,NA,Coffea schliebenii
35734,Coffea zanguebariae,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,Ibo coffee,Lour.,2017,VU,B2ab(iii),FALSE,FALSE,TRUE,"O'Sullivan, R.J. & Davis, A.P.","Rivers, M.C.",40,537300,700,10,NA,NA,NA,NA,NA,NA,Coffea zanguebariae
185241,Carex monostachya,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Carex,NA,A.Rich.,2010,VU,B2ab(iii),FALSE,TRUE,FALSE,"Luke, W.R.Q.","Juffe Bignoli, D. & Smith, K.",<500,235000,4500,2700,NA,NA,NA,NA,NA,NA,Carex monostachya
177168,Eleocharis atropurpurea,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Eleocharis,NA,(Retz.) J.Presl &amp; C.Presl,2014,LC,NA,FALSE,TRUE,TRUE,"Kumar, B.","Lansdown, R.V. & Smith, K.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eleocharis atropurpurea
85729141,Mischogyne elliotianum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,ANNONACEAE,Mischogyne,NA,(Engl. &amp; Diels) R.E.Fr.,2016,LC,NA,FALSE,FALSE,TRUE,"Rokni, S.","Hilton-Taylor, C.",216,3175736,800,5,NA,NA,NA,NA,NA,NA,Mischogyne elliotianum
45434,Begonia duncan-thomasii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,BEGONIACEAE,Begonia,NA,Sosef,2014,VU,B1ab(iii)+2ab(iii),FALSE,FALSE,TRUE,"Cheek, M.","Onana, J.-M.",28,1054,2000,800,NA,NA,NA,NA,NA,NA,Begonia duncan-thomasii
62871,Coffea mufindiensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,Wild Coffee,Bridson,2017,LC,NA,FALSE,FALSE,TRUE,"O'Sullivan, R.J. & Davis, A.P.","Beentje, H.J. & Luke, W.R.Q.",140,452000,2300,950,NA,NA,NA,NA,NA,NA,Coffea mufindiensis
157998,Coffea kimbozensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,NA,Bridson,2017,CR,B2ab(iii),FALSE,FALSE,TRUE,"O'Sullivan, R.J. & Davis, A.P.","Beentje, H.J. & Luke, W.R.Q.",4,NA,450,300,NA,NA,NA,NA,NA,NA,Coffea kimbozensis
32912,Millettia sacleuxii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Millettia,NA,Dunn,1998,VU,B1+2b,FALSE,FALSE,TRUE,"Lovett, J. & Clarke, G.P.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Millettia sacleuxii
18290165,Coffea brevipes,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Coffea,NA,Hiern,2017,LC,NA,FALSE,FALSE,TRUE,"Chadburn, H. & Davis, A.P.","Onana, J.-M.",NA,2141100,1450,80,NA,NA,NA,NA,NA,NA,Coffea brevipes
32163,Ochna angustata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,OCHNACEAE,Ochna,NA,N.Robson,1998,DD,NA,FALSE,FALSE,TRUE,"Bandeira, S.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ochna angustata
185440,Oxalis disticha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,OXALIDACEAE,Oxalis,NA,Jacq.,2010,LC,NA,FALSE,TRUE,FALSE,"Cholo, F. & Kamundi, D.A.","Sieben, E. & Smith, K.",NA,>20000,400,180,NA,NA,NA,NA,NA,NA,Oxalis disticha
168962,Stuckenia pectinata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,POTAMOGETONACEAE,Stuckenia,Fennel Pondweed,(L.) Börner,2017,LC,NA,FALSE,TRUE,FALSE,"Gupta, A.K.","Luke, W.R.Q.",NA,NA,2550,0,NA,NA,NA,NA,NA,NA,Stuckenia pectinata
200636,Pavetta rwandensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Pavetta,NA,Bridson,2017,LC,NA,FALSE,FALSE,TRUE,"Ntore, S., Nshutiyayesu, S., Mwangoka, M., Maunder, M., Luke, W.R.Q., Kalema, J., Kabuye, C., Gereau, R. & Beentje, H.J.","Fischer, E.",90,4397,2750,2000,NA,NA,NA,NA,NA,NA,Pavetta rwandensis
85955273,Psydrax fragrantissima,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Psydrax,NA,(K.Schum.) Bridson,2016,NT,NA,FALSE,FALSE,TRUE,"Matimele, H.A., Raimondo, D., Bandeira, S., Burrows, J.E., Darbyshire, I., Massingue, A.O. & Timberlake, J.","von Staden, L.",108-2000,21566,NA,NA,NA,NA,NA,NA,NA,NA,Psydrax fragrantissima
35494,Tricalysia schliebenii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Tricalysia,NA,Robbrecht,1998,VU,B1+2b,FALSE,FALSE,TRUE,"Lovett, J. & Clarke, G.P.",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tricalysia schliebenii
32089,Deinbollia rambaensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Deinbollia,NA,Pellegrin,1998,VU,D2,FALSE,FALSE,TRUE,World Conservation Monitoring Centre,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deinbollia rambaensis
