tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Ixora mildbraedii,129,30,AFRICA
Balanites aegyptiaca,154,96,"NORTH_AMERICA, AFRICA"
Impatiens apiculata,51,12,AFRICA
Millettia psilopetala,104,43,AFRICA
Impatiens clavicalcar,10,3,
Impatiens irangiensis,10,2,
Impatiens paucidentata,NA,NA,NA
Impatiens warburgiana,14,5,AFRICA
Cordia uncinulata,10,6,AFRICA
Combretum haullevilleanum,52,24,AFRICA
Cochlospermum wittei,22,12,AFRICA
Dactyladenia sapinii,2,1,
Magnistipula butayei,108,40,AFRICA
Terminalia griffithsiana,4,3,
Dioscorea knuthiana,21,10,AFRICA
Phyllobotryon lebrunii,2,NA,NA
Karina tayloriana,2,1,
Cnestis yangambiensis,22,8,AFRICA
Ipomoea robynsiana,3,2,
Ipomoea lapathifolia,9,7,AFRICA
Dichapetalum dewevrei,191,52,AFRICA
Dichapetalum pedicellatum,21,10,AFRICA
Diospyros gabunensis,201,69,AFRICA
Acalypha ambigua,3,2,AFRICA
Acalypha deltoidea,3,1,
Acalypha neptunica,35,23,AFRICA
Croton jansii,4,2,
Croton macrostachyus,143,70,AFRICA
Cleistanthus evrardii,2,1,
Croton pynaertii,9,4,AFRICA
Phyllanthus leonardianus,10,3,
Macaranga dibeelensis,8,4,
Pycnocoma devredii,2,1,
Thecacoris latistipula,2,1,
Drosera katangensis,8,7,
Garcinia epunctata,95,47,AFRICA
Garcinia punctata,264,107,AFRICA
Garcinia lujae,9,7,
Garcinia buchneri,23,8,SOUTH_AMERICA
Pentadesma lebrunii,37,21,AFRICA
Allanblackia kimbiliensis,5,3,
Habenaria anaphysema,3,1,
Campylostemon bequaertii,NA,NA,NA
Salacia erecta,185,97,AFRICA
Salacia mayumbensis,47,24,AFRICA
Salacia devredii,4,1,
Salacia alveolata,3,2,
Vitex venulosa,46,28,AFRICA
Vitex kapirensis,46,28,AFRICA
Vitex duboisii,3,2,
Vitex vermoesenii,9,4,
Salacia viridiflora,4,2,
Iodes yangambiensis,2,1,
Aeollanthus homblei,18,11,AFRICA
Klainedoxa gabonensis,139,56,AFRICA
Aeollanthus subacaulis,31,18,AFRICA
Haumaniastrum rupestre,7,4,AFRICA
Ocimum metallorum,12,4,
Haumaniastrum graminifolium,1,1,
Haumaniastrum praealtum,77,31,AFRICA
Haumaniastrum morumbense,9,7,
Haumaniastrum paniculatum,6,4,
Beilschmiedia mayumbensis,3,3,
Platostoma montanum,33,14,AFRICA
Pycnostachys goetzenii,24,10,AFRICA
Scutellaria polyadenia,1,NA,NA
Tinnea coerulea,52,22,AFRICA
Beilschmiedia gilbertii,12,4,AFRICA
Beilschmiedia donisii,5,1,
Cogniauxia trilobata,211,71,AFRICA
Acacia kirkii,20,15,AFRICA
Beilschmiedia schmitzii,8,5,
Xylia ghesquierei,18,8,AFRICA
Afzelia bipindensis,124,67,AFRICA
Pentaclethra eetveldeana,78,38,AFRICA
Cynometra hankei,93,42,AFRICA
Dialium angolense,176,81,AFRICA
Aeschynomene dimidiata,2,1,
Baphia longipedicellata,13,6,AFRICA
Baphia bergeri,15,8,AFRICA
Myrianthus preussii,125,52,AFRICA
Myrianthus scandens,20,5,
Crotalaria chamaepeuce,3,2,
Baphia wollastonii,29,9,AFRICA
Crotalaria calliantha,5,3,
Crotalaria basipeta,10,6,
Crotalaria axilliflora,13,9,
Crotalaria exilis,4,2,
Crotalaria glaucifolia,28,13,AFRICA
Crotalaria haumaniana,2,1,
Crotalaria florida,47,28,AFRICA
Crotalaria kambanguensis,2,1,
Crotalaria kambolensis,11,7,
Crotalaria minutissima,11,10,
