"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Euphorbia grandifolia",835297,64,16,NA,"16","2","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Euphorbia graniticola",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia grantii",616852,96,25,NA,"21","3","LC or NT","LC or NT B1a+B2a","20","LC or NT","LC or NT"
"Euphorbia granulata",6052215,48,12,NA,"12","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia greenwayi",13357,24,6,NA,"4","1","EN","EN B2a","16.7","EN","VU"
"Euphorbia griseola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia grosseri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia guentheri",NA,4,2,NA,"2","1","EN","EN B2a","66.67","EN",NA
"Euphorbia guerichiana",167175,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia gummifera",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia halipedicola",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia hamata",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euphorbia handeniensis",61,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia hedigeriana",NA,4,2,NA,"2","1","EN","EN B2a","66.67","EN",NA
"Euphorbia herbacea",4787,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia heterochroma",199623,92,24,NA,"19","3","LC or NT","LC or NT B1a+B2a","14.8","LC or NT","LC or NT"
"Euphorbia heterophylla",17069948,316,82,NA,"74","7","LC or NT","LC or NT B1a+B2a","12.5","LC or NT","LC or NT"
"Euphorbia heteropodum",2148,32,8,NA,"8","1","VU","VU B1a+B2a","10","VU","VU"
"Euphorbia heterospina",34480,52,13,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia hirsuta",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia hirta",17400909,528,137,NA,"125","17","LC or NT","LC or NT B1a+B2a","16.3","LC or NT","LC or NT"
"Euphorbia hockii",959,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia holmesiae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia hubertii",1374,20,5,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia hypericifolia",13337323,128,32,NA,"31","1","LC or NT","LC or NT B1a+B2a","3.1","LC or NT","LC or NT"
"Euphorbia hyssopifolia",6405961,160,40,NA,"37","5","LC or NT","LC or NT B1a+B2a","11.9","LC or NT","LC or NT"
"Euphorbia immersa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia inaequilatera",3212159,108,27,NA,"25","5","LC or NT","LC or NT B1a+B2a","25.9","LC or NT","LC or NT"
"Euphorbia ingens",692399,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia intricata",4585,20,5,NA,"5","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia invenusta",15725,60,15,NA,"12","1","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Euphorbia isacantha",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia joyae",59603,56,15,NA,"13","5","LC or NT","LC or NT B1a+B2a","41.2","LC or NT","LC or NT"
"Euphorbia kaessneri",602741,52,13,NA,"12","1","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Euphorbia kalisana",7938,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Euphorbia kamerunica",567998,40,11,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia kerstingii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia kilwana",1063641,52,13,NA,"11","2","LC or NT","LC or NT B1a+B2a","23.1","LC or NT","LC or NT"
"Euphorbia kiritensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia kirkii",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia knuthii",42232,44,11,NA,"11","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Euphorbia kouandenensis",22127,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia kraussiana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia kundelunguensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia laikipiensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia lateriflora",409185,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia lavicola",18470,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Euphorbia ledermanniana",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia lenewtonii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia letestui",22148,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia limpopoana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia lindenii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia lissosperma",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia lividiflora",626538,64,16,NA,"15","3","LC or NT","LC or NT B1a+B2a","27.8","LC or NT","LC or NT"
"Euphorbia longituberculosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia lophiosperma",47426,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia lugardiae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia lupatensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia macrophylla",295683,44,11,NA,"9","2","VU","VU B2a","50","VU","LC or NT"
"Euphorbia mafingensis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia magnicapsula",33673,84,21,NA,"19","2","LC or NT","LC or NT B1a+B2a","9.1","LC or NT","LC or NT"
"Euphorbia magnifica",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia marsabitensis",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euphorbia matabelensis",1928004,108,28,NA,"28","3","LC or NT","LC or NT B1a+B2a","10.7","LC or NT","LC or NT"
"Euphorbia mauritanica",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia michaelii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia microcyatha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia microsciadia",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia mlanjeana",1130,20,6,NA,"3","1","EN","EN B1a+B2a","75","EN","EN"
"Euphorbia monacantha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia monteiroi",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia mossambicensis",735630,36,9,NA,"9","4","VU","VU B2a","44.4","VU","LC or NT"
"Euphorbia natalensis",62644,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia neocapitata",288633,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia neocrispa",550,20,5,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia neoerubescens",14739,24,6,NA,"5","0","EN","EN B2a","0","EN","VU"
"Euphorbia neopedunculata",19510,20,5,NA,"5","1","EN","EN B2a","20","EN","VU"
"Euphorbia neopolycnemoides",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia neoreflexa",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia neorugosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia neospinescens",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia neovirgata",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia nigrispina",907,16,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia nigrispinoides",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia nubica",368858,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia nyikae",270259,264,70,NA,"59","9","LC or NT","LC or NT B1a+B2a","12.8","LC or NT","LC or NT"
"Euphorbia oatesii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia odontophora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia officinarum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia ogadenensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia orobanchoides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia pachyclada",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia paganorum",11524,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Euphorbia papilionum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia parviflora",38148,72,18,NA,"18","3","LC or NT","LC or NT B1a+B2a","15","LC or NT","LC or NT"
"Euphorbia patentispina",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia perangustifolia",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia perarmata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia pereskiifolia",176832,100,26,NA,"22","1","LC or NT","LC or NT B1a+B2a","6.5","LC or NT","LC or NT"
"Euphorbia pergracilis",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia pervittata",22520,32,9,NA,"8","4","VU","VU B2a","44.4","VU","LC or NT"
"Euphorbia petraea",4057,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Euphorbia petricola",2085,20,6,NA,"4","2","EN","EN B1a+B2a","66.7","EN","EN"
"Euphorbia phylloclada",38385,16,4,NA,"4","2","EN","EN B2a","50","EN","LC or NT"
"Euphorbia piceoides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia platycephala",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia poissonii",114857,24,6,NA,"5","2","EN","EN B2a","20","EN","LC or NT"
"Euphorbia polyacantha",428365,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia polyantha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia polycnemoides",13545218,152,38,NA,"38","2","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Euphorbia proballyana",8314,44,11,NA,"9","2","VU","VU B1a+B2a","21.4","VU","VU"
"Euphorbia prona",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia prostrata",12381139,144,36,NA,"35","4","LC or NT","LC or NT B1a+B2a","11.1","LC or NT","LC or NT"
"Euphorbia pseudoburuana",12950,28,7,NA,"7","0","VU","VU B1a+B2a","0","VU","VU"
"Euphorbia pseudolaevis",7714,16,4,NA,"4","1","EN","EN B2a","25","EN","VU"
"Euphorbia pseudomollis",521,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia pseudonudicaulis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia pseudopetiolata",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia pseudoracemosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia pseudovolkensii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia pteroclada",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia pudibunda",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia quadrangularis",112365,52,13,NA,"13","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia quadrialata",34119,36,9,NA,"9","1","VU","VU B2a","11.1","VU","LC or NT"
"Euphorbia quadrilatera",15856,20,6,NA,"5","1","EN","EN B2a","16.7","EN","VU"
"Euphorbia quadrispina",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia quinquecostata",35329,52,14,NA,"13","1","LC or NT","LC or NT B1a+B2a","6.2","LC or NT","LC or NT"
"Euphorbia ramulosa",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia reclinata",22440,24,6,NA,"5","1","EN","EN B2a","16.7","EN","LC or NT"
"Euphorbia renneyi",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia repetita",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia reptans",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia rhizophora",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia rhombifolia",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia richardsiae",394,12,3,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Euphorbia ritchiei",49,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia rivae",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia rubella",101516,24,6,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia rubriflora",129,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Euphorbia rubromarginata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia rudolfii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia samburuensis",907,36,11,NA,"7","0","VU","VU B1a+B2a","0","VU","VU"
"Euphorbia sapinii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia sareciana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia saxorum",1652,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia scarlatina",2165,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia scatorhiza",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia schaijesii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia scheffleri",776,12,3,NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Euphorbia schimperi",831571,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia schimperiana",7482708,340,91,NA,"72","10","LC or NT","LC or NT B1a+B2a","24","LC or NT","LC or NT"
"Euphorbia schinzii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia schizacantha",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia schubei",123584,32,8,NA,"8","2","VU","VU B2a","25","VU","LC or NT"
"Euphorbia scordifolia",7165394,44,11,NA,"11","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Euphorbia scyphadena",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia sebsebei",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia selousiana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia septentrionalis",21941,40,10,NA,"10","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia serendipita",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euphorbia sereti",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia serratifolia",286,12,3,NA,"2","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia setispina",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia silenifolia",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia similiramea",23982,64,16,NA,"15","2","LC or NT","LC or NT B1a+B2a","11.8","LC or NT","LC or NT"
"Euphorbia somalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia songweana",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia spartaria",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia spec.nov.1",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia spectabilis",916,20,5,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia stapelioides",76511,60,15,NA,"15","1","LC or NT","LC or NT B1a+B2a","6.7","LC or NT","LC or NT"
"Euphorbia stapfii",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia stolonifera",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia strangulata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia subscandens",217,20,5,NA,"4","2","EN","EN B1a+B2a","60","EN","EN"
"Euphorbia sudanica",98815,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia sumati",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia syncalycina",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia syncameronii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia systyloides",1076825,36,9,NA,"9","1","VU","VU B2a","11.1","VU","LC or NT"
"Euphorbia taboraensis",115508,32,8,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Euphorbia tanaensis",12,12,5,NA,"2","1","EN","EN B1a+B2a","60","EN","EN"
"Euphorbia taruensis",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia teke",466573,16,6,NA,"4","1","EN","EN B2a","16.7","EN","LC or NT"
"Euphorbia tenuispinosa",78417,104,28,NA,"20","5","LC or NT","LC or NT B1a+B2a","38.7","LC or NT","LC or NT"
"Euphorbia tescorum",3221,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia tetracanthoides",2686,24,6,NA,"6","1","VU","VU B1a+B2a","14.3","VU","VU"
"Euphorbia tetragona",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia tettensis",241577,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia tholicola",929,16,4,NA,"3","1","EN","EN B1a+B2a","50","EN","EN"
"Euphorbia thulinii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia thymifolia",3641457,100,26,NA,"25","6","LC or NT","LC or NT B1a+B2a","26.9","LC or NT","LC or NT"
"Euphorbia tirucalli",12205938,140,35,NA,"34","2","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Euphorbia torrei",24118,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Euphorbia tortirama",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia triaculeata",6844,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Euphorbia triangularis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia trichiocyma",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia tripartita",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia tuberculata",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia tuberosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia tuckeyana",1045,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia turkanensis",3931,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia ugandensis",202069,44,11,NA,"11","4","LC or NT","LC or NT B1a+B2a","36.4","LC or NT","LC or NT"
"Euphorbia uhligiana",50819,32,8,NA,"7","1","VU","VU B2a","33.3","VU","LC or NT"
"Euphorbia uniglans",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Euphorbia unispina",314604,40,10,NA,"8","1","VU","VU B2a","10","VU","LC or NT"
"Euphorbia usambarica",343297,184,48,NA,"42","14","LC or NT","LC or NT B1a+B2a","35.6","LC or NT","LC or NT"
"Euphorbia venenifica",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euphorbia vittata",873,16,4,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Euphorbia vulcanorum",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euphorbia wakefieldii",7049,48,13,NA,"9","0","VU","VU B1a+B2a","0","VU","VU"
"Euphorbia wellbyi",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euphorbia whellanii",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia whyteana",69,12,3,NA,"2","1","EN","EN B1a+B2a","57.1","EN","EN"
"Euphorbia yattana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Euphorbia zambesiana",1567915,40,11,NA,"10","3","VU","VU B2a","27.3","VU","LC or NT"
"Euploca ovalifolia",18715927,188,47,NA,"47","6","LC or NT","LC or NT B1a+B2a","12.8","LC or NT","LC or NT"
"Euploca rariflora",3452574,72,18,NA,"16","1","LC or NT","LC or NT B1a+B2a","5.6","LC or NT","LC or NT"
"Euploca strigosa",16739669,376,94,NA,"85","8","LC or NT","LC or NT B1a+B2a","22.7","LC or NT","LC or NT"
"Eureiandra eburnea",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Eureiandra fasciculata",1095531,48,12,NA,"12","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Eureiandra formosa",492721,36,9,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Eureiandra lasiandra",21849,20,5,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Eureiandra leucantha",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Eurybia hemispherica",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Eurychone galeandrae",821551,28,7,NA,"7","1","VU","VU B2a","12.5","VU","LC or NT"
"Eurychone rothschildiana",145582,16,4,NA,"4","1","EN","EN B2a","20","EN","LC or NT"
"Euryops abrotanifolius",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops arabicus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops brevipapposus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops brownei",NA,8,2,NA,"2","2","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euryops candollei",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops chrysanthemoides",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Euryops dacrydioides",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euryops decipiens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops elgonensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops imbricatus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops jacksonii",4458,32,8,NA,"6","4","VU","VU B1a+B2a","70","VU","VU"
"Euryops laxus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops munitus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops pedunculatus",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops pinifolius",48445,24,6,NA,"4","1","EN","EN B2a","50","EN","LC or NT"
"Euryops prostratus",NA,8,2,NA,"1","1","LC or NT","LC or NT B2a","100","LC or NT",NA
"Euryops subcarnosus",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Euryops transvaalensis",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Euryops tysonii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Eurypetalum tessmannii",100152,180,48,NA,"33","3","LC or NT","LC or NT B1a+B2a","4.5","LC or NT","LC or NT"
"Eurypetalum unijugum",32272,32,8,NA,"7","1","VU","VU B2a","10","VU","LC or NT"
"Eustachys paspaloides",1080099,32,8,NA,"8","1","VU","VU B2a","12.5","VU","LC or NT"
"Evolvulus alsinoides",18739063,592,151,NA,"140","14","LC or NT","LC or NT B1a+B2a","13","LC or NT","LC or NT"
"Evolvulus nummularius",4402191,76,19,NA,"18","4","LC or NT","LC or NT B1a+B2a","26.3","LC or NT","LC or NT"
"Evotella rubiginosa",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Exacum oldenlandioides",7161044,64,16,NA,"15","3","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Exacum quinquenervium",20090,28,7,NA,"6","0","VU","VU B2a","0","VU","LC or NT"
"Exacum zombense",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Excoecaria bussei",1259578,60,17,NA,"15","1","LC or NT","LC or NT B1a+B2a","5.9","LC or NT","LC or NT"
"Excoecaria grahamii",304995,120,30,NA,"26","3","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Excoecaria guineensis",1816035,184,47,NA,"43","6","LC or NT","LC or NT B1a+B2a","21.1","LC or NT","LC or NT"
"Excoecaria madagascariensis",20705,20,5,NA,"5","2","EN","EN B2a","40","EN","LC or NT"
"Exellia scamnopetala",1340383,96,24,NA,"21","3","LC or NT","LC or NT B1a+B2a","19.4","LC or NT","LC or NT"
"Exochaenium baumianum",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Exochaenium debile",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Exochaenium dimidiatum",618,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Exochaenium exiguum",105785,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Exochaenium fernandesianum",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Exochaenium gracile",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Exochaenium grande",6781861,80,20,NA,"20","3","LC or NT","LC or NT B1a+B2a","18.2","LC or NT","LC or NT"
"Exochaenium hockii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Exochaenium lineariforme",NA,8,2,NA,"2","1","EN","EN B2a","50","EN",NA
"Exochaenium macropterum",NA,4,2,NA,"1","0","CR","CR B2a","0","CR",NA
"Exochaenium oliganthum",4839272,52,13,NA,"11","4","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
"Exochaenium perparvum",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Exochaenium platypterum",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Exochaenium pumilum",832647,28,7,NA,"5","2","EN","EN B2a","57.1","EN","LC or NT"
"Exochaenium teucszii",1429743,28,7,NA,"7","1","VU","VU B2a","14.3","VU","LC or NT"
"Exochaenium wildemanianum",80,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Exotheca abyssinica",2367324,148,38,NA,"36","6","LC or NT","LC or NT B1a+B2a","13.6","LC or NT","LC or NT"
