"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Vernonia alticola",31217,24,6,NA,"6","1","VU","VU B2a","16.7","VU","LC or NT"
"Vernonia amaniensis",9627,36,9,NA,"8","2","VU","VU B1a+B2a","33.3","VU","VU"
"Vernonia ambigua",13487242,232,58,NA,"55","6","LC or NT","LC or NT B1a+B2a","11.3","LC or NT","LC or NT"
"Vernonia amoena",477427,40,10,NA,"10","1","VU","VU B2a","10","VU","LC or NT"
"Vernonia amygdalina",14398741,640,163,NA,"156","16","LC or NT","LC or NT B1a+B2a","10.2","LC or NT","LC or NT"
"Vernonia andohii",437393,80,20,NA,"18","5","LC or NT","LC or NT B1a+B2a","28.6","LC or NT","LC or NT"
"Vernonia anthelmintica",370642,44,11,NA,"11","1","LC or NT","LC or NT B1a+B2a","9.1","LC or NT","LC or NT"
"Vernonia arenicola",369,12,3,NA,"1","1","LC or NT","CR B2a","100","CR","EN"
"Vernonia aschersonii",1156848,28,7,NA,"7","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia auriculifera",3851377,84,21,NA,"20","3","LC or NT","LC or NT B1a+B2a","17.4","LC or NT","LC or NT"
"Vernonia bambilorensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia bamendae",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia bellinghamii",487001,40,10,NA,"9","1","VU","VU B2a","10","VU","LC or NT"
"Vernonia biafrae",6556338,152,40,NA,"37","9","LC or NT","LC or NT B1a+B2a","19.2","LC or NT","LC or NT"
"Vernonia bipontini",58817,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia blumeoides",5284,48,12,NA,"9","1","VU","VU B1a+B2a","58.6","VU","VU"
"Vernonia brachycalyx",939258,116,30,NA,"27","5","LC or NT","LC or NT B1a+B2a","26.7","LC or NT","LC or NT"
"Vernonia brachytrichoides",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia bracteosa",16721,16,4,NA,"4","0","EN","EN B2a","0","EN","VU"
"Vernonia brazzavillensis",650396,104,26,NA,"25","1","LC or NT","LC or NT B1a+B2a","3.4","LC or NT","LC or NT"
"Vernonia bruceae",5228,20,5,NA,"4","3","EN","EN B2a","60","EN","VU"
"Vernonia bruceana",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia bullulata",185434,68,17,NA,"17","0","LC or NT","LC or NT B1a+B2a","0","LC or NT","LC or NT"
"Vernonia calulu",181343,88,22,NA,"19","1","LC or NT","LC or NT B1a+B2a","15.2","LC or NT","LC or NT"
"Vernonia calvoana",5532082,252,66,NA,"50","19","LC or NT","LC or NT B1a+B2a","46.3","LC or NT","LC or NT"
"Vernonia calyculata",34893,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia camporum",772757,56,15,NA,"14","2","LC or NT","LC or NT B1a+B2a","18.8","LC or NT","LC or NT"
"Vernonia catumbensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia centaureoides",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia cinerascens",6467491,120,31,NA,"29","1","LC or NT","LC or NT B1a+B2a","9.4","LC or NT","LC or NT"
"Vernonia cinerea",71222,20,5,NA,"5","1","EN","EN B2a","20","EN","LC or NT"
"Vernonia colorata",13936268,444,114,NA,"108","16","LC or NT","LC or NT B1a+B2a","16.4","LC or NT","LC or NT"
"Vernonia conferta",3676141,348,92,NA,"80","10","LC or NT","LC or NT B1a+B2a","27.7","LC or NT","LC or NT"
"Vernonia congolensis",351230,40,10,NA,"9","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia crassipetala",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia cylindrica",6012,16,5,NA,"4","0","EN","EN B2a","0","EN","VU"
"Vernonia daphnifolia",915035,124,32,NA,"30","3","LC or NT","LC or NT B1a+B2a","11.1","LC or NT","LC or NT"
"Vernonia dembocola",39622,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia devredii",265,12,3,NA,"3","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia dewildemaniana",6393,12,3,NA,"3","1","EN","EN B2a","25","EN","VU"
"Vernonia djalonensis",2979,24,6,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia doniana",1984494,72,18,NA,"18","5","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Vernonia duvigneaudii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia evrardiana",NA,4,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Vernonia excelsa",380238,24,6,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia exsertiflora",823721,136,36,NA,"30","8","LC or NT","LC or NT B1a+B2a","33.3","LC or NT","LC or NT"
"Vernonia fastigiata",1533898,52,13,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.7","LC or NT","LC or NT"
"Vernonia filipendula",3448403,40,10,NA,"10","3","VU","VU B2a","23.1","VU","LC or NT"
"Vernonia fischeri",3777,16,4,NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Vernonia fractiflexa",200,16,4,NA,"2","1","EN","EN B1a+B2a","75","EN","EN"
"Vernonia friisii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia frondosa",255715,40,10,NA,"9","3","VU","VU B2a","36.4","VU","LC or NT"
"Vernonia galamensis",12366420,520,135,NA,"119","23","LC or NT","LC or NT B1a+B2a","22.9","LC or NT","LC or NT"
"Vernonia galpinii",56222,16,4,NA,"4","0","EN","EN B2a","0","EN","LC or NT"
"Vernonia gerberiformis",5231351,56,14,NA,"14","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Vernonia gilbertii",315972,36,9,NA,"8","0","VU","VU B2a","0","VU","LC or NT"
"Vernonia glaberrima",7929338,236,60,NA,"57","2","LC or NT","LC or NT B1a+B2a","3.2","LC or NT","LC or NT"
"Vernonia glabra",10452625,220,55,NA,"51","5","LC or NT","LC or NT B1a+B2a","8.9","LC or NT","LC or NT"
"Vernonia goetzenii",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Vernonia guineensis",6288146,372,94,NA,"92","11","LC or NT","LC or NT B1a+B2a","17.9","LC or NT","LC or NT"
"Vernonia hamata",240014,40,10,NA,"9","1","VU","VU B2a","20","VU","LC or NT"
"Vernonia hildebrandtii",491340,200,50,NA,"45","9","LC or NT","LC or NT B1a+B2a","23.3","LC or NT","LC or NT"
"Vernonia hirsuta",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Vernonia hochstetteri",5540252,260,67,NA,"60","9","LC or NT","LC or NT B1a+B2a","14.1","LC or NT","LC or NT"
"Vernonia holstii",3149344,60,15,NA,"13","7","LC or NT","LC or NT B1a+B2a","50","LC or NT","LC or NT"
